"","series","episode","uk_airdate","viewers_7day","viewers_28day","network_rank","channels_rank","bbc_iplayer_requests","episode_count","us_season","us_airdate","finale"
"69",9,3,2018-09-11,8.91,9.35,1,2,NA,77,NA,NA,"FALSE"
"70",9,4,2018-09-18,8.88,9.41,1,3,NA,78,NA,NA,"FALSE"
"71",9,5,2018-09-25,8.67,9.15,1,3,NA,79,NA,NA,"FALSE"
"72",9,6,2018-10-02,8.91,9.3,1,4,NA,80,NA,NA,"FALSE"
"73",9,7,2018-10-09,9.22,9.54,1,3,NA,81,NA,NA,"FALSE"
"74",9,8,2018-10-16,9.69,9.93,1,2,NA,82,NA,NA,"FALSE"
"75",9,9,2018-10-23,9.5,9.7,1,3,NA,83,NA,NA,"FALSE"
"76",10,1,2019-08-27,9.62,10.03,1,1,NA,85,NA,NA,"FALSE"
"77",10,2,2019-09-03,9.38,9.8,1,1,NA,86,NA,NA,"FALSE"
"78",10,3,2019-09-10,8.94,9.42,1,1,NA,87,NA,NA,"FALSE"
"79",10,4,2019-09-17,8.96,9.49,1,2,NA,88,NA,NA,"FALSE"
"80",10,5,2019-09-24,9.26,9.64,1,2,NA,89,NA,NA,"FALSE"
"81",10,6,2019-10-01,8.7,9.19,1,3,NA,90,NA,NA,"FALSE"
"82",10,7,2019-10-08,8.98,9.42,1,3,NA,91,NA,NA,"FALSE"
"83",10,8,2019-10-15,9.19,9.48,1,3,NA,92,NA,NA,"FALSE"
"84",10,9,2019-10-22,9.34,9.67,1,3,NA,93,NA,NA,"FALSE"
"85",1,6,2010-09-21,2.75,1,NA,NA,NA,6,NA,NA,"TRUE"
"86",2,8,2011-10-04,5.06,1,NA,NA,NA,14,NA,NA,"TRUE"
"87",3,10,2012-10-16,6.74,1,NA,NA,NA,24,5,NA,"TRUE"
"88",4,10,2013-10-22,9.45,1,4,NA,NA,34,1,"March 1, 2015","TRUE"
"89",5,10,2014-10-08,13.51,1,1,NA,NA,44,2,"November 8, 2015","TRUE"
"90",6,10,2015-10-07,15.05,15.16,1,1,1619000,54,3,"August 12, 2016","TRUE"
"91",7,10,2016-10-26,15.9,16.03,1,1,1602000,64,4,"August 4, 2017","TRUE"
"92",8,10,2017-10-31,10.04,10.13,1,4,NA,74,NA,NA,"TRUE"
"93",9,10,2018-10-30,10.34,10.54,1,2,NA,84,NA,NA,"TRUE"
"94",10,10,2019-10-29,10.05,10.21,1,3,NA,94,NA,NA,"TRUE"
